source,target,value
from DOUGLAS ELLIMAN,to DOUGLAS ELLIMAN,2192.0
from CORCORAN,to CORCORAN,1460.0
from COMPASS,to COMPASS,750.0
from BROWN HARRIS STEVENS,to BROWN HARRIS STEVENS,611.0
from CORE,to CORE,113.0
from CORCORAN,to COMPASS,97.0
from DOUGLAS ELLIMAN,to COMPASS,74.0
from CORE,to COMPASS,35.0
from CORCORAN,to DOUGLAS ELLIMAN,25.0
from DOUGLAS ELLIMAN,to CORCORAN,21.0
from BROWN HARRIS STEVENS,to COMPASS,15.0
from COMPASS,to DOUGLAS ELLIMAN,11.0
from CORE,to CORCORAN,9.0
from CORCORAN,to BROWN HARRIS STEVENS,8.0
from BROWN HARRIS STEVENS,to CORCORAN,8.0
from COMPASS,to CORCORAN,8.0
from DOUGLAS ELLIMAN,to DOUGLAS ELLIMAN,3.0
from DOUGLAS ELLIMAN,to BROWN HARRIS STEVENS,2.0
from COMPASS,to BROWN HARRIS STEVENS,1.0
from CORE,to BROWN HARRIS STEVENS,1.0
from CORE,to DOUGLAS ELLIMAN,1.0
from CORCORAN,to CORCORAN,1.0
